[Thu Feb 25 15:31:59.946041 2016] [:error] [pid 16196] [client 172.16.0.1:44813] PHP Fatal error:  Call to undefined method app\\models\\Accounts::getUser() in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 65, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:33:21.610912 2016] [:error] [pid 15881] [client 172.16.0.1:59073] PHP Fatal error:  Call to undefined method app\\models\\Accounts::getUser() in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 66, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:33:24.757033 2016] [:error] [pid 15266] [client 172.16.0.1:52867] PHP Fatal error:  Call to undefined method app\\models\\Accounts::getUser() in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 66, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 15:44:12.150672 2016] [:error] [pid 19240] [client 172.16.0.1:59437] PHP Parse error:  syntax error, unexpected ',' in /var/www-public/testyii.54mbit.pp.ua/models/RegisterForm.php on line 18, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 17:09:31.049143 2016] [:error] [pid 25185] [client 172.16.0.1:61990] PHP Fatal error:  Class 'app\\models\\Yii' not found in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 68, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 17:10:35.592932 2016] [:error] [pid 25169] [client 172.16.0.1:35739] PHP Fatal error:  Class 'app\\models\\Yii' not found in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 68, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 17:10:38.086963 2016] [:error] [pid 25184] [client 172.16.0.1:56934] PHP Fatal error:  Class 'app\\models\\Yii' not found in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 68, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 17:13:10.807670 2016] [:error] [pid 25169] [client 172.16.0.1:26336] PHP Fatal error:  Call to undefined method app\\models\\User::login() in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 68, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 17:19:27.084770 2016] [:error] [pid 20305] [client 172.16.0.1:51745] PHP Fatal error:  Cannot declare class app\\models\\User because the name is already in use in /var/www-public/testyii.54mbit.pp.ua/models/User.php on line 7
[Thu Feb 25 17:23:32.471729 2016] [:error] [pid 23326] [client 172.16.0.1:28603] PHP Fatal error:  Call to undefined method app\\models\\User::findOne() in /var/www-public/testyii.54mbit.pp.ua/models/LoginForm.php on line 63, referer: http://testyii.54mbit.pp.ua/site/login
[Thu Feb 25 17:31:04.300674 2016] [:error] [pid 25184] [client 172.16.0.1:49775] PHP Fatal error:  Interface 'app\\models\\IdentityInterface' not found in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 8, referer: http://testyii.54mbit.pp.ua/site/login
[Fri Feb 26 09:57:26.890650 2016] [:error] [pid 4759] [client 172.16.0.1:62403] PHP Fatal error:  Interface 'app\\models\\IdentityInterface' not found in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 8, referer: http://testyii.54mbit.pp.ua/site/login
[Fri Feb 26 09:58:00.840180 2016] [:error] [pid 4766] [client 172.16.0.1:37990] PHP Fatal error:  Interface 'app\\models\\IdentityInterface' not found in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 8, referer: http://testyii.54mbit.pp.ua/site/login
[Fri Feb 26 09:58:16.493810 2016] [:error] [pid 4749] [client 172.16.0.1:17774] PHP Fatal error:  Interface 'app\\models\\IdentityInterface' not found in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 8, referer: http://testyii.54mbit.pp.ua/site/login
[Fri Feb 26 09:59:48.615354 2016] [:error] [pid 5697] [client 172.16.0.1:55764] PHP Fatal error:  Class app\\models\\Accounts contains 5 abstract methods and must therefore be declared abstract or implement the remaining methods (yii\\web\\IdentityInterface::findIdentity, yii\\web\\IdentityInterface::findIdentityByAccessToken, yii\\web\\IdentityInterface::getId, ...) in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 26, referer: http://testyii.54mbit.pp.ua/site/login
[Fri Feb 26 10:01:14.560373 2016] [:error] [pid 5951] [client 172.16.0.1:41314] PHP Fatal error:  Class app\\models\\Accounts contains 5 abstract methods and must therefore be declared abstract or implement the remaining methods (yii\\web\\IdentityInterface::findIdentity, yii\\web\\IdentityInterface::findIdentityByAccessToken, yii\\web\\IdentityInterface::getId, ...) in /var/www-public/testyii.54mbit.pp.ua/models/Accounts.php on line 27, referer: http://testyii.54mbit.pp.ua/site/login
[Fri Feb 26 13:04:30.715591 2016] [:error] [pid 27081] [client 172.16.0.1:61474] PHP Fatal error:  Class 'yii\\base\\Module' not found in /var/www-public/testyii.54mbit.pp.ua/vendor/noumo/easyii/AdminModule.php on line 13, referer: http://testyii.54mbit.pp.ua/vendor/noumo/easyii/
[Fri Feb 26 13:13:05.828612 2016] [:error] [pid 28849] [client 172.16.0.1:8016] PHP Warning:  require(/var/www-public/testyii.54mbit.pp.ua/0/ois-easycms/vendor/swiftmailer/swiftmailer/lib/swift_required.php): failed to open stream: No such file or directory in /var/www-public/testyii.54mbit.pp.ua/0/ois-easycms/vendor/composer/autoload_real.php on line 54, referer: http://testyii.54mbit.pp.ua/0/
[Fri Feb 26 13:13:05.831950 2016] [:error] [pid 28849] [client 172.16.0.1:8016] PHP Fatal error:  require(): Failed opening required '/var/www-public/testyii.54mbit.pp.ua/0/ois-easycms/vendor/swiftmailer/swiftmailer/lib/swift_required.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www-public/testyii.54mbit.pp.ua/0/ois-easycms/vendor/composer/autoload_real.php on line 54, referer: http://testyii.54mbit.pp.ua/0/
[Fri Feb 26 13:58:50.155514 2016] [:error] [pid 25736] [client 172.16.0.1:45432] PHP Warning:  require(/var/www-public/testyii.54mbit.pp.ua/vendor/swiftmailer/swiftmailer/lib/swift_required.php): failed to open stream: No such file or directory in /var/www-public/testyii.54mbit.pp.ua/vendor/composer/autoload_real.php on line 54, referer: http://testyii.54mbit.pp.ua/contacts
[Fri Feb 26 13:58:50.220335 2016] [:error] [pid 25736] [client 172.16.0.1:45432] PHP Fatal error:  require(): Failed opening required '/var/www-public/testyii.54mbit.pp.ua/vendor/swiftmailer/swiftmailer/lib/swift_required.php' (include_path='.:/usr/share/php:/usr/share/pear') in /var/www-public/testyii.54mbit.pp.ua/vendor/composer/autoload_real.php on line 54, referer: http://testyii.54mbit.pp.ua/contacts
